    B_DTF_K2Pi_Jpsi_MASS                                                                                Double_t                                
    B_DTF_K2Pi_Jpsi_MASSERR                                                                             Double_t                                
    B_DTF_K2Pi_Jpsi_NDOF                                                                                Int_t                                   
    B_DTF_K2Pi_Jpsi_NITER                                                                               Int_t                                   
    B_DTF_K2Pi_Jpsi_P                                                                                   Double_t                                
    B_DTF_K2Pi_Jpsi_PE                                                                                  Float_t                                 
    B_DTF_K2Pi_Jpsi_PERR                                                                                Double_t                                
    B_DTF_K2Pi_Jpsi_PX                                                                                  Float_t                                 
    B_DTF_K2Pi_Jpsi_PY                                                                                  Float_t                                 
    B_DTF_K2Pi_Jpsi_PZ                                                                                  Float_t                                 
    B_DTF_K2Pi_MASS                                                                                     Double_t                                
    B_DTF_K2Pi_MASSERR                                                                                  Double_t                                
    B_DTF_K2Pi_NDOF                                                                                     Int_t                                   
    B_DTF_K2Pi_NITER                                                                                    Int_t                                   
    B_DTF_K2Pi_P                                                                                        Double_t                                
    B_DTF_K2Pi_PE                                                                                       Float_t                                 
    B_DTF_K2Pi_PERR                                                                                     Double_t                                
    B_DTF_K2Pi_PX                                                                                       Float_t                                 
    B_DTF_K2Pi_PY                                                                                       Float_t                                 
    B_DTF_K2Pi_PZ                                                                                       Float_t                                 
    B_DTF_K2Pi_Psi2S_CHI2                                                                               Double_t                                
    B_DTF_K2Pi_Psi2S_CHI2DOF                                                                            Double_t                                
    B_DTF_K2Pi_Psi2S_CTAU                                                                               Double_t                                
    B_DTF_K2Pi_Psi2S_CTAUERR                                                                            Double_t                                
    B_DTF_K2Pi_Psi2S_FD                                                                                 Double_t                                
    B_DTF_K2Pi_Psi2S_FDERR                                                                              Double_t                                
    B_DTF_K2Pi_Psi2S_MASS                                                                               Double_t                                
    B_DTF_K2Pi_Psi2S_MASSERR                                                                            Double_t                                
    B_DTF_K2Pi_Psi2S_NDOF                                                                               Int_t                                   
    B_DTF_K2Pi_Psi2S_NITER                                                                              Int_t                                   
    B_DTF_K2Pi_Psi2S_P                                                                                  Double_t                                
    B_DTF_K2Pi_Psi2S_PE                                                                                 Float_t                                 
    B_DTF_K2Pi_Psi2S_PERR                                                                               Double_t                                
    B_DTF_K2Pi_Psi2S_PX                                                                                 Float_t                                 
    B_DTF_K2Pi_Psi2S_PY                                                                                 Float_t                                 
    B_DTF_K2Pi_Psi2S_PZ                                                                                 Float_t                                 
    B_DTF_MASS                                                                                          Double_t                                
    B_DTF_MASSERR                                                                                       Double_t                                
    B_DTF_NDOF                                                                                          Int_t                                   
    B_DTF_NITER                                                                                         Int_t                                   
    B_DTF_P                                                                                             Double_t                                
    B_DTF_PE                                                                                            Float_t                                 
    B_DTF_PERR                                                                                          Double_t                                
    B_DTF_PX                                                                                            Float_t                                 
    B_DTF_PY                                                                                            Float_t                                 
    B_DTF_PZ                                                                                            Float_t                                 
    B_DTF_Pi2K_CHI2                                                                                     Double_t                                
    B_DTF_Pi2K_CHI2DOF                                                                                  Double_t                                
    B_DTF_Pi2K_CTAU                                                                                     Double_t                                
    B_DTF_Pi2K_CTAUERR                                                                                  Double_t                                
    B_DTF_Pi2K_FD                                                                                       Double_t                                
    B_DTF_Pi2K_FDERR                                                                                    Double_t                                
    B_DTF_Pi2K_Jpsi_CHI2                                                                                Double_t                                
    B_DTF_Pi2K_Jpsi_CHI2DOF                                                                             Double_t                                
    B_DTF_Pi2K_Jpsi_CTAU                                                                                Double_t                                
    B_DTF_Pi2K_Jpsi_CTAUERR                                                                             Double_t                                
    B_DTF_Pi2K_Jpsi_FD                                                                                  Double_t                                
    B_DTF_Pi2K_Jpsi_FDERR                                                                               Double_t                                
    B_DTF_Pi2K_Jpsi_MASS                                                                                Double_t                                
    B_DTF_Pi2K_Jpsi_MASSERR                                                                             Double_t                                
    B_DTF_Pi2K_Jpsi_NDOF                                                                                Int_t                                   
    B_DTF_Pi2K_Jpsi_NITER                                                                               Int_t                                   
    B_DTF_Pi2K_Jpsi_P                                                                                   Double_t                                
    B_DTF_Pi2K_Jpsi_PE                                                                                  Float_t                                 
    B_DTF_Pi2K_Jpsi_PERR                                                                                Double_t                                
    B_DTF_Pi2K_Jpsi_PX                                                                                  Float_t                                 
    B_DTF_Pi2K_Jpsi_PY                                                                                  Float_t                                 
    B_DTF_Pi2K_Jpsi_PZ                                                                                  Float_t                                 
    B_DTF_Pi2K_MASS                                                                                     Double_t                                
    B_DTF_Pi2K_MASSERR                                                                                  Double_t                                
    B_DTF_Pi2K_NDOF                                                                                     Int_t                                   
    B_DTF_Pi2K_NITER                                                                                    Int_t                                   
    B_DTF_Pi2K_P                                                                                        Double_t                                
    B_DTF_Pi2K_PE                                                                                       Float_t                                 
    B_DTF_Pi2K_PERR                                                                                     Double_t                                
    B_DTF_Pi2K_PX                                                                                       Float_t                                 
    B_DTF_Pi2K_PY                                                                                       Float_t                                 
    B_DTF_Pi2K_PZ                                                                                       Float_t                                 
    B_DTF_Pi2K_Psi2S_CHI2                                                                               Double_t                                
    B_DTF_Pi2K_Psi2S_CHI2DOF                                                                            Double_t                                
    B_DTF_Pi2K_Psi2S_CTAU                                                                               Double_t                                
    B_DTF_Pi2K_Psi2S_CTAUERR                                                                            Double_t                                
    B_DTF_Pi2K_Psi2S_FD                                                                                 Double_t                                
    B_DTF_Pi2K_Psi2S_FDERR                                                                              Double_t                                
    B_DTF_Pi2K_Psi2S_MASS                                                                               Double_t                                
    B_DTF_Pi2K_Psi2S_MASSERR                                                                            Double_t                                
    B_DTF_Pi2K_Psi2S_NDOF                                                                               Int_t                                   
    B_DTF_Pi2K_Psi2S_NITER                                                                              Int_t                                   
    B_DTF_Pi2K_Psi2S_P                                                                                  Double_t                                
    B_DTF_Pi2K_Psi2S_PE                                                                                 Float_t                                 
    B_DTF_Pi2K_Psi2S_PERR                                                                               Double_t                                
    B_DTF_Pi2K_Psi2S_PX                                                                                 Float_t                                 
    B_DTF_Pi2K_Psi2S_PY                                                                                 Float_t                                 
    B_DTF_Pi2K_Psi2S_PZ                                                                                 Float_t                                 
    B_DTF_Pi2P_CHI2                                                                                     Double_t                                
    B_DTF_Pi2P_CHI2DOF                                                                                  Double_t                                
    B_DTF_Pi2P_CTAU                                                                                     Double_t                                
    B_DTF_Pi2P_CTAUERR                                                                                  Double_t                                
    B_DTF_Pi2P_FD                                                                                       Double_t                                
    B_DTF_Pi2P_FDERR                                                                                    Double_t                                
    B_DTF_Pi2P_Jpsi_CHI2                                                                                Double_t                                
    B_DTF_Pi2P_Jpsi_CHI2DOF                                                                             Double_t                                
    B_DTF_Pi2P_Jpsi_CTAU                                                                                Double_t                                
    B_DTF_Pi2P_Jpsi_CTAUERR                                                                             Double_t                                
    B_DTF_Pi2P_Jpsi_FD                                                                                  Double_t                                
    B_DTF_Pi2P_Jpsi_FDERR                                                                               Double_t                                
    B_DTF_Pi2P_Jpsi_MASS                                                                                Double_t                                
    B_DTF_Pi2P_Jpsi_MASSERR                                                                             Double_t                                
    B_DTF_Pi2P_Jpsi_NDOF                                                                                Int_t                                   
    B_DTF_Pi2P_Jpsi_NITER                                                                               Int_t                                   
    B_DTF_Pi2P_Jpsi_P                                                                                   Double_t                                
    B_DTF_Pi2P_Jpsi_PE                                                                                  Float_t                                 
    B_DTF_Pi2P_Jpsi_PERR                                                                                Double_t                                
    B_DTF_Pi2P_Jpsi_PX                                                                                  Float_t                                 
    B_DTF_Pi2P_Jpsi_PY                                                                                  Float_t                                 
    B_DTF_Pi2P_Jpsi_PZ                                                                                  Float_t                                 
    B_DTF_Pi2P_MASS                                                                                     Double_t                                
    B_DTF_Pi2P_MASSERR                                                                                  Double_t                                
