runid,fillid,starttime
299103,9819,2024-06-23 18:28:44+00:00
299102,9819,2024-06-23 17:35:04+00:00
299098,9819,2024-06-23 16:51:34+00:00
299095,9819,2024-06-23 16:36:51+00:00
299094,9819,2024-06-23 16:32:10+00:00
299093,9819,2024-06-23 16:24:22+00:00
299092,9819,2024-06-23 16:12:47+00:00
299091,9819,2024-06-23 16:09:13+00:00
299090,9819,2024-06-23 15:42:42+00:00
299089,9819,2024-06-23 15:29:09+00:00
299088,9819,
299087,9819,2024-06-23 15:14:01+00:00
299086,9819,2024-06-23 15:09:49+00:00
299082,9819,2024-06-23 14:37:50+00:00
299077,9819,2024-06-23 14:24:34+00:00
299076,9819,2024-06-23 14:16:39+00:00
299072,9819,2024-06-23 13:52:48+00:00
299069,9819,2024-06-23 13:39:34+00:00
299068,9819,2024-06-23 13:25:26+00:00
299066,9819,2024-06-23 13:11:27+00:00
299065,9819,2024-06-23 13:07:17+00:00
299064,9819,2024-06-23 13:06:21+00:00
299062,9819,2024-06-23 12:30:18+00:00
299061,9819,2024-06-23 12:26:42+00:00
299039,9816,
299037,9816,2024-06-23 00:14:56+00:00
299035,9816,2024-06-23 00:06:13+00:00
299032,9816,2024-06-22 23:51:11+00:00
299027,9816,2024-06-22 23:27:26+00:00
299025,9816,2024-06-22 23:14:14+00:00
299023,9816,2024-06-22 23:00:33+00:00
299022,9816,2024-06-22 22:57:02+00:00
299021,9816,2024-06-22 22:47:36+00:00
299019,9816,2024-06-22 22:43:47+00:00
299018,9816,2024-06-22 22:40:48+00:00
299015,9816,2024-06-22 22:06:23+00:00
299014,9816,2024-06-22 22:03:29+00:00
299013,9816,2024-06-22 21:55:00+00:00
299012,9816,2024-06-22 21:48:43+00:00
299011,9816,2024-06-22 21:46:40+00:00
299010,9816,2024-06-22 21:44:11+00:00
299009,9815,2024-06-22 21:07:17+00:00
299008,9815,2024-06-22 21:01:18+00:00
299007,9815,2024-06-22 20:52:53+00:00
299006,9815,2024-06-22 20:04:36+00:00
299005,9814,2024-06-22 19:04:27+00:00
299003,9814,2024-06-22 18:04:16+00:00
299002,9813,2024-06-22 17:04:08+00:00
298998,9813,
298991,9813,2024-06-22 15:47:46+00:00
298985,9813,2024-06-22 15:18:07+00:00
298981,9813,2024-06-22 14:53:20+00:00
298980,9813,2024-06-22 14:39:24+00:00
298979,9813,2024-06-22 14:32:53+00:00
298978,9813,2024-06-22 14:15:00+00:00
298975,9813,2024-06-22 14:00:21+00:00
298973,9813,2024-06-22 13:50:03+00:00
298970,9813,2024-06-22 13:35:13+00:00
298969,9813,2024-06-22 13:32:24+00:00
298968,9813,2024-06-22 13:27:54+00:00
298965,9813,2024-06-22 13:13:32+00:00
298963,9813,2024-06-22 13:08:06+00:00
298962,9813,2024-06-22 13:01:40+00:00
298961,9813,2024-06-22 12:57:31+00:00
298960,9813,2024-06-22 12:49:59+00:00
298959,9813,2024-06-22 12:40:00+00:00
298958,9813,2024-06-22 12:37:35+00:00
298956,9813,2024-06-22 12:35:06+00:00
298955,9813,2024-06-22 12:24:49+00:00
298954,9813,2024-06-22 12:22:25+00:00
298953,9813,2024-06-22 12:19:37+00:00
298952,9813,2024-06-22 12:10:30+00:00
298951,9813,2024-06-22 12:06:14+00:00
298950,9813,2024-06-22 12:02:49+00:00
298949,9813,2024-06-22 12:00:12+00:00
298948,9813,2024-06-22 11:57:47+00:00
298946,9813,2024-06-22 11:18:38+00:00
